ID,Label,pI,hydrophobicity_Cid,hydrophobicity_Jones,hydrophobicity_Ponnuswamy,hydrophobicity_Welling,hydrophobicity_Wilson,hydrophobicity_Zimmerman,hmoment,charge,mw,Aliphatic,Acidic,X.Tiny,X.Small,X.Aliphatic,X.Polar,X.Acidic,Electronic_Properties,Electrophilicity,Hardness,H_bonding,Hydrophobicity_index,Bulky_properties.,Compositional_characteristic_index,Local_flexibility,Electronic_properties,Penetration.Depth,Propensity.to.in.vitro.Aggregation,Angle.Subtended.by.the.Hydrophobic.Residues,Amphiphilicity.Index,Propensity.to.PPII.coil,ChargeDensity,InstabilityInd,Aromaticity,HydrophRatio,AASI,ABHPRK,argos,bulkiness,cougar,Ez,flexibility,levitt_alpha,MSS,pepcats,PPCALI,refractivity,t_scale,z3
ExtVal_1,0,10.41,-0.048787879,1.176666667,0.462727273,0.365151515,0.660606061,1.065151515,0.677535348,3.001539465,3181.72634,17,3,51.515,60.606,51.515,33.333,9.091,-0.413636364,-0.277878788,0.47030303,0.242121212,-0.337272727,-0.451,0.916181818,-0.123030303,-0.163878788,30,5.59,120,0.99,0.87,0.000939124,7.272727273,0.03030303,0.515151515,2.22454545,0.84848485,0.05030303,0.55127273,2.90742424,17.27515152,0.53530303,1.1230303,15.42174545,1.45454545,1.56815515,0.2713735,-12.81,-1.49272727
ExtVal_2,0,6.26,0.383076923,1.791538462,0.946153846,-0.71,1.769230769,1.777692308,0.730000434,-0.000384161,1446.75004,6,2,23.077,30.769,46.154,38.462,15.385,-0.64,-0.646923077,0.305384615,-0.012307692,0.202230769,0.088923077,0.670461538,-0.109692308,-0.077923077,14,1.42,190,0.66,0.91,-0.0000076,20.47692308,0.076923077,0.538461538,2.20615385,1.23076923,0.19615385,0.68892308,3.16238462,21.37307692,0.63469231,1.06615385,18.84964615,1.53846154,1.22463208,0.37430592,-0.51307692,-2.20923077
ExtVal_3,0,9.93,0.2975,1.4575,0.9525,-0.145625,2.7125,1.49125,0.558115041,0.997840716,1615.97674,8,1,31.25,56.25,50,25,6.25,-0.6225,-0.53,0.26875,0.090625,-0.1625,-0.1705625,0.9778125,-0.1941875,-0.0281875,10,8.53,240,0.46,0.85,0.00061202,-5.9375,0.0625,0.5625,2.2225,1,0.3275,0.6499375,3.241625,20.136875,0.570375,0.9975,16.40173125,1.25,0.56992231,0.31129497,-9.9325,-3.01625
ExtVal_8,0,10.73,0.343,1.5275,1.0045,-0.316,3.005,1.6105,0.488596721,1.997394232,1918.43704,11,0,35,50,55,15,0,-0.7515,-0.4825,0.4105,0.159,0.1545,-0.2234,1.1798,0.0199,-0.1554,8,132.55,240,0.37,0.85,0.001036791,22.195,0,0.55,2.064,0.8,0.565,0.63805,3.2546,20.924,0.6126,0.9725,14.917035,1,-1.0452327,0.28549259,-16.011,-3.7615
ExtVal_11,0,11.8,0.017837838,1.503243243,0.276486486,0.16027027,0.889189189,1.528378378,0.671744617,11.99668363,4453.43954,9,2,13.514,27.027,24.324,54.054,5.405,-1.237027027,0.168648649,0.284864865,0.276486486,-0.390135135,0.153027027,0.420540541,0.075945946,0.473783784,30,0,80,1.46,0.97,0.002690759,30.9972973,0.081081081,0.297297297,2.0972973,1.40540541,-0.11783784,0.67364865,2.34924324,19.04918919,0.67113514,1.04054054,18.49813243,1.97297297,-0.38976173,0.42860048,-1.89459459,-0.75783784
ExtVal_12,0,10.41,0.074594595,1.242972973,0.645945946,0.045405405,1.689189189,1.211081081,0.715239377,4.872711149,3820.61044,14,1,43.243,56.757,37.838,37.838,2.703,-0.511351351,-0.311351351,0.114594595,0.204594595,-0.172486486,-0.27727027,0.637972973,-0.191432432,0.106432432,14,21.96,70,0.85,0.91,0.001224683,8.235135135,0.054054054,0.459459459,2.21027027,0.94594595,0.1527027,0.62335135,2.93981081,18.87864865,0.54954054,1.03810811,17.2648027,1.59459459,0.11690988,0.34917165,-9.74432432,-1.87243243
ExtVal_13,0,11.16,0.386923077,1.745384615,0.700769231,0.909230769,1.769230769,1.598461538,0.661976345,3.996804164,1511.95774,7,0,23.077,30.769,53.846,38.462,0,-1.291538462,0.302307692,0.399230769,0.263076923,-0.065692308,0.263230769,0.902230769,0.051692308,0.315307692,14,0,200,1.66,0.91,0.002637009,7.853846154,0.076923077,0.538461538,2.03153846,1.23076923,0.50461538,0.78415385,2.57,18.73846154,0.42307692,1.18615385,19.25391538,1.84615385,0.54467362,0.42760766,-3.07923077,-2.52538462
ExtVal_14,0,11.94,0.494444444,1.883888889,0.987777778,-0.341666667,1.194444444,1.893888889,1.040748746,7.086852907,2262.86274,7,0,5.556,11.111,38.889,50,0,-1.673333333,0.452222222,0.165555556,0.351666667,-0.002555556,0.438333333,0.311222222,-0.22,0.774444444,14,1.41,180,1.59,0.95,0.00310539,69.08333333,0.055555556,0.388888889,2.13444444,1.44444444,-0.09833333,0.73661111,2.56833333,19.59333333,0.68055556,1.01777778,19.86022222,2.11111111,-1.14678824,0.47498498,2.25277778,-1.66111111
ExtVal_17,0,11.27,0.514666667,1.947333333,0.834666667,0.408666667,2.28,1.746666667,0.687035151,4.99650913,1771.30904,7,0,13.333,26.667,46.667,33.333,0,-1.273333333,0.384666667,0.2,0.238,-0.1588,0.342733333,0.759533333,-0.116066667,0.3816,13,2.38,100,1.69,0.89,0.002815462,-28.98666667,0.133333333,0.533333333,2.09466667,1.33333333,0.292,0.77606667,2.7398,18.98933333,0.4778,1.11666667,18.8088,1.8,1.2887072,0.4482483,-1.238,-2.736
ExtVal_18,0,11.45,0.461666667,2.112777778,0.418888889,0.673333333,1.661111111,1.945555556,0.818859506,7.086828153,2300.95114,5,0,5.556,11.111,27.778,44.444,0,-0.952222222,0.941666667,0.271666667,0.25,-0.026111111,0.521833333,0.3995,0.187,0.341055556,15,0,100,1.89,1,0.00305443,-9.938888889,0.222222222,0.444444444,1.93611111,1.61111111,0.21111111,0.78477778,2.31527778,19.62333333,0.4375,1.15055556,20.36832778,2.22222222,1.06783656,0.51237035,2.85166667,-1.23111111
